CompanyName,Experience,Locations,Requirements
"IBM India Pvt. Limited
4.0(8004 reviews)",2-4 yrs,India,"Business Strategy, Application Development, Automation Tools..."
"Globallogic India Ltd
3.7(679 reviews)",2-6 yrs,Pune,"Robotic process automation, RPA, Automation Anywhere"
Trigent Software Limited,1-4 yrs,"Mumbai, Navi Mumbai","Development Testing, Design Development, System Implementation..."
"Infosys Technologies ltd
3.9(10565 reviews)",10-15 yrs,Bengaluru,"Process automation, Architecture, Technology Lead, Design development..."
Ciber,3-8 yrs,"Bengaluru, Hyderabad","UiPath, Java, RPA, Spring MVC, J2EE, Webservices, PL - SQL, Spring..."
"Infosys Limited
3.9(10565 reviews)",3-8 yrs,"Bengaluru, Chennai, Hyderabad, Pune","Automation Anywhere, UI Path, Blue Prism"
Nusecond Technologies,6-10 yrs,Noida,"UiPath, OpenSpan, Java, RPA, RPA Tools, Automation Anywhere..."
Adecco India Private Limited,1-4 yrs,Mumbai(Airoli),"Automation, RPA, UI path, experience, blue prism, SQL"
Adecco India Private Limited,1-4 yrs,Mumbai(Airoli+16),"RPA, Automation, RPA Developer, blueprism, UI path, Prism, SQL"
"NTT DATA
3.6(1723 reviews)",4-8 yrs,Bengaluru,"C#, VB.NET, VB SCRIPT, Design Patterns, ADO.Net, ASP.Net, .Net, SQL Server,..."
ExcelaCom Technologies,6-8 yrs,Chennai,"Telecom, Automation, Agile scrum, Consulting, Programming, Deployment, SDLC..."
SYSCORT TECHNOLOGIES PRIVATE LIMITED,1-6 yrs,"Aurangabad, Mumbai, Pune","Automation testing, development, Powershell, SAT, testing, Windows..."
Lumbini Elite Solutions Services Pvt Ltd,3-8 yrs,Bengaluru,"Java, RPA Developer, Problem Solving, .Net, rpa software developer, Prism..."
DATA LABS,3-5 yrs,"Mumbai, Chennai, Delhi, Kolkata, Hyderabad, Bengaluru, Pune, Ahmedabad, Kanpur","UiPath, Java, RPA, RPA Developer, Microsoft Bot, Agile, .Net, Scrum"
Othain Software Services India Private Limited,2-7 yrs,Hyderabad(Kondapur),"orchestrator, rpa, automation, robotics, .Net, uipath, ui path..."
AG Technologies pvt Ltd,2-7 yrs,Mumbai,"Automation anywhere, RPA, Uipath"
Chaitra Soft,2-7 yrs,Bengaluru,"UiPath, RPA, RPA Tools, RPA Developer, Automation Anywhere, UAT..."
"Infosys Technologies ltd
3.9(10565 reviews)",1-6 yrs,Bengaluru,"Process automation, Architecture, Design development, Programming..."
Seventh Contact Hiring Solutions,1-2 yrs,Pune,"uat testing, scripting, automation anywhere, Kothrud, Pune, ui path, sql"
"SA Tech Software (I) Pvt. Ltd.
4.0(24 reviews)",2-7 yrs,Mumbai,"Automation, ASP.Net, .Net, UI path, ASP"
2Coms Consulting Pvt Ltd.,1-2 yrs,Navi Mumbai,"Communication Skills, Computer Savvy, Leadership, Automation, Rpas..."
ACCELIRATE SOFTECH PRIVATE LIMITED,2-7 yrs,Pune,"Software Development, Process Automation, MS Visio, Process Analysis..."
2Coms Consulting Pvt Ltd.,1-2 yrs,Noida,"Communication Skills, RPA Developer, Developer, VBA Developer"
2Coms Consulting Pvt Ltd.,1-3 yrs,Gurgaon(Sector-24 Gurgaon),"rpa, blueprism, rpa developer, automation anywhere, uipath, robotic process..."
"Allstate Solutions Private Limited
3.8(264 reviews)",2-4 yrs,Pune,"Technical Documentation, Agile Methodology, Design Patterns..."
Collabera Technologies Private Limited,2-5 yrs,Pune,"RPA, Developer"
Maintec Technologies Private Limited,2-6 yrs,"Mumbai, Bengaluru, Chennai","rpa sr. it software developer, rpa software engineer, RPA Developer..."
RPA Tech,2-7 yrs,Delhi,"Analytical skills, Consulting, Manager Technology, Consultancy, Deployment"
2Coms Consulting Pvt Ltd.,1-3 yrs,Mumbai(Airoli),"rpa, Software Development, it development, automation, blueprism, UIpath..."
Siddhartha Consultancy Services,3-5 yrs,Gurgaon,"Technical product configuration, c++, C, design, MySQL, JavaScript..."
"BigStep Technologies Pvt. Ltd.
4.2(29 reviews)",1-3 yrs,Gurgaon,"rpa, development, ai, client servicing, ui path, coding, automation, client..."
"IBM India Pvt. Limited
4.0(8004 reviews)",2-4 yrs,India,"Application Development, Automation Tools, Change Control, RPA..."
AXIOM TECHNOLOGIES SERVICES PRIVATE LIMITED,5-8 yrs,Singapore,"C#, RPA, VB.NET, NLP, UI, AS - IS, ICR / OCR, Machine Learning..."
Contactx Resource Management,5-8 yrs,Bengaluru,"UiPath, RPA, IT Process Automation, Automation Anywhere, Power BI, VBA..."
2Coms Consulting Pvt Ltd.,1-2 yrs,Gurgaon,"Computer Savvy, RPA, Automation Anywhere, Strong Interpersonal Skills..."
Trigent Software Limited,1-6 yrs,"Navi Mumbai, Mumbai","Communication Skills, blueprism, Rpas, automation anywhere, Night Shift, ui..."
JUMBO CONSULTANTS,3-4 yrs,Delhi NCR(Sector-144 Noida),"RPA, Automation Anywhere"
Hector and Streak Consulting Pvt Ltd,2-7 yrs,Mumbai,"RPA, Automation Anywhere, Developer, Uipath"
2Coms Consulting Pvt Ltd.,1-5 yrs,"Mumbai, Navi Mumbai, Thane","Btech, RPA, Automation, software design, IT, experience, Engineering..."
QualityKiosk,3-5 yrs,Mumbai,"Training, Manager Quality Assurance, SQL database, Business Analyst, UAT..."
Yellow Box HR Services Pvt. Ltd.,4-5 yrs,Mumbai(Powai),"rpa, automation, rpa developer, UI Development, techno functional, robotics..."
Trigent Software Limited,1-6 yrs,"Navi Mumbai, Mumbai","Communication Skills, blueprism, Rpas, automation anywhere, Night Shift, ui..."
Accuprosys Global Pvt Ltd,4-9 yrs,Hyderabad,"C#, UiPath, Java, C++, mnc, software, Win Automation, VB, SQL, hyderabad..."
2Coms Consulting Pvt Ltd.,1-3 yrs,Mumbai,"Application Development, RPA Developer, Process Analysis, Analytical Skills..."
CMPMS GLOBAL PRIVATE LIMITED,2-7 yrs,Chennai(Valasaravakkam),"C#, Application Development, Visual Basic, Html5, Computer Science, Agile..."
Trigent Software Limited,2-4 yrs,Bengaluru,"automation tools, application support"
Tanisha Systems Pvt Ltd.,7-12 yrs,Noida,".Net, Night Shift, VB, Prism, SQL"
SidJobs Consultancy Pvt Ltd,2-6 yrs,"Mumbai, Navi Mumbai, Mumbai Suburbs","Automation, RPA, Automation Anywhere, blueprism, process automation, Uipath"
tangentia,2-4 yrs,Panjim,"Automation, Construction, development, Programming, Mentor, Management..."
TAO AUTOMATION SERVICES PRIVATE LIMITED,1-6 yrs,Bengaluru(5th block Koramangala),"rpa, robotic process optimization, .net, uipath, robotic process automation..."
